sample,isi,spike_num,amp,NAME,DESC,SIZE,COLOR,PIC
8.38E+05,0.374,-1,-408.993,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0191.png
8.43E+05,0.17997,-1,-361.6275,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0192.png
8.62E+05,0.6368,-1,-387.6015,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0193.png
8.65E+05,0.0869,-1,-373.7565,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0194.png
8.67E+05,0.060233,-1,-383.136,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0195.png
8.72E+05,0.19023,-1,-377.7345,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0196.png
8.76E+05,0.13,-1,-358.215,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0197.png
8.78E+05,0.065533,-1,-355.6605,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0198.png
8.80E+05,0.056733,-1,-375.336,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0199.png
8.81E+05,0.0423,-1,-278.577,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0200.png
8.87E+05,0.1911,-1,-371.085,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0201.png
9.08E+05,0.6933,-1,-387.504,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0202.png
9.17E+05,0.32047,-1,-315.12,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0203.png
9.21E+05,0.13313,-1,-302.3085,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0204.png
9.25E+05,0.1138,-1,-376.389,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0205.png
9.33E+05,0.26503,1,-442.923,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0206.png
9.33E+05,0.019433,2,-388.557,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0207.png
9.33E+05,0.0063,3,-334.425,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike0208.png
9.34E+05,0.0088333,4,-149.8848,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike0209.png
9.38E+05,0.13767,-1,-276.0225,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0210.png
9.43E+05,0.1639,-1,-361.9005,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0211.png
9.45E+05,0.0851,-1,-288.2295,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0212.png
9.47E+05,0.056767,-1,-379.8405,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0213.png
9.48E+05,0.027533,-1,-293.1045,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0214.png
9.64E+05,0.52913,-1,-387.621,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0215.png
9.69E+05,0.16537,1,-382.2975,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0216.png
9.69E+05,0.0068667,2,-327.2685,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0217.png
